"date","employeeID","qualOfCare","patientWorkload","numDailyStaffedNurses"
1998-03-08,"006225","Fair",8,6
1998-03-08,"006595","Good",5,6
1998-03-08,"002677","Good",6,6
1998-03-08,"003184","Good",5,6
1998-03-08,"008279","Poor",13,6
1998-03-08,"006773","Excellent",5,6
1998-03-09,"00293","Excellent",4,11
1998-03-09,"0056","Excellent",5,11
1998-03-09,"00854","Excellent",4,11
1998-03-09,"001221","Excellent",6,11
1998-03-09,"003369","Excellent",5,11
1998-03-09,"004293","Good",7,11
1998-03-09,"008164","Excellent",4,11
1998-03-09,"006773","Excellent",7,11
1998-03-09,"004297","Good",5,11
1998-03-09,"004326","Excellent",4,11
1998-03-09,"004347","Good",5,11
1998-03-10,"00293","Excellent",3,10
1998-03-10,"00854","Excellent",5,10
1998-03-10,"005828","Good",6,10
1998-03-10,"001221","Excellent",6,10
1998-03-10,"003135","Excellent",5,10
1998-03-10,"004326","Good",6,10
1998-03-10,"006393","Fair",6,10
1998-03-10,"0056","Excellent",6,10
1998-03-10,"008279","Excellent",4,10
1998-03-10,"005098","Good",4,10
1998-03-11,"00715","Excellent",7,13
1998-03-11,"005828","Good",5,13
1998-03-11,"004347","Good",4,13
1998-03-11,"004326","Good",7,13
1998-03-11,"0056","Excellent",2,13
1998-03-11,"001221","Good",4,13
1998-03-11,"003135","Excellent",3,13
1998-03-11,"006225","Excellent",2,13
1998-03-11,"006595","Excellent",3,13
1998-03-11,"006393","Excellent",5,13
1998-03-11,"008279","Good",5,13
1998-03-11,"004293","Excellent",4,13
1998-03-11,"003825","Fair",5,13
1998-03-12,"001273","Poor",8,11
1998-03-12,"00293","Excellent",3,11
1998-03-12,"003369","Excellent",6,11
1998-03-12,"006595","Excellent",3,11
1998-03-12,"004840","Good",4,11
1998-03-12,"008041","Excellent",4,11
1998-03-12,"006773","Excellent",4,11
1998-03-12,"008279","Excellent",2,11
1998-03-12,"008164","Excellent",2,11
1998-03-12,"003135","Fair",6,11
1998-03-12,"002677","Poor",9,11
1998-03-13,"002864","Excellent",3,11
1998-03-13,"006773","Excellent",4,11
1998-03-13,"001273","Good",5,11
1998-03-13,"00854","Excellent",5,11
1998-03-13,"007923","Excellent",6,11
1998-03-13,"004347","Excellent",5,11
1998-03-13,"003184","Excellent",5,11
1998-03-13,"006393","Excellent",4,11
1998-03-13,"003135","Excellent",2,11
1998-03-13,"00293","Excellent",3,11
1998-03-13,"006605","Good",6,11
1998-03-14,"002677","Good",6,6
1998-03-14,"003184","Poor",11,6
1998-03-14,"006773","Poor",7,6
1998-03-14,"008279","Fair",7,6
1998-03-14,"004297","Poor",8,6
1998-03-14,"002864","Fair",6,6
1998-03-15,"002677","Poor",8,5
1998-03-15,"006393","Fair",8,5
1998-03-15,"008279","Poor",10,5
1998-03-15,"002864","Fair",6,5
1998-03-15,"006595","Fair",6,5
1998-03-16,"005828","Excellent",2,11
1998-03-16,"001221","Excellent",3,11
1998-03-16,"003184","Excellent",3,11
1998-03-16,"00293","Fair",6,11
1998-03-16,"006773","Excellent",5,11
1998-03-16,"008041","Excellent",3,11
1998-03-16,"002677","Good",7,11
1998-03-16,"004840","Good",7,11
1998-03-16,"003825","Good",4,11
1998-03-16,"007559","Excellent",4,11
1998-03-16,"005098","Excellent",3,11
1998-03-17,"008279","Excellent",5,11
1998-03-17,"006393","Excellent",5,11
1998-03-17,"002864","Excellent",5,11
1998-03-17,"001221","Excellent",2,11
1998-03-17,"00854","Excellent",2,11
1998-03-17,"003135","Good",5,11
1998-03-17,"008041","Excellent",3,11
1998-03-17,"006225","Excellent",2,11
1998-03-17,"00293","Good",8,11
1998-03-17,"006773","Excellent",3,11
1998-03-17,"003184","Excellent",5,11
1998-03-18,"003184","Excellent",4,9
1998-03-18,"005098","Excellent",5,9
1998-03-18,"008164","Excellent",5,9
1998-03-18,"004297","Excellent",3,9
1998-03-18,"006605","Good",10,9
1998-03-18,"001273","Excellent",6,9
1998-03-18,"0056","Excellent",4,9
1998-03-18,"00715","Excellent",3,9
1998-03-18,"006225","Excellent",6,9
1998-03-19,"00293","Good",5,11
1998-03-19,"008279","Good",7,11
1998-03-19,"00715","Excellent",5,11
1998-03-19,"004297","Excellent",5,11
1998-03-19,"004347","Excellent",5,11
1998-03-19,"004293","Excellent",5,11
1998-03-19,"007923","Fair",6,11
1998-03-19,"006393","Excellent",3,11
1998-03-19,"004840","Good",6,11
1998-03-19,"001273","Good",7,11
1998-03-19,"0056","Good",5,11
1998-03-20,"003825","Good",5,12
1998-03-20,"004326","Excellent",4,12
1998-03-20,"008164","Excellent",3,12
1998-03-20,"002677","Excellent",4,12
1998-03-20,"007923","Good",4,12
1998-03-20,"004293","Excellent",5,12
1998-03-20,"006393","Excellent",4,12
1998-03-20,"004840","Fair",9,12
1998-03-20,"006595","Excellent",4,12
1998-03-20,"001221","Excellent",4,12
1998-03-20,"004297","Excellent",4,12
1998-03-20,"00293","Good",6,12
1998-03-21,"002677","Fair",9,6
1998-03-21,"006225","Poor",9,6
1998-03-21,"008279","Fair",8,6
1998-03-21,"007559","Good",7,6
1998-03-21,"006595","Poor",10,6
1998-03-21,"004297","Poor",8,6
1998-03-22,"002677","Fair",7,6
1998-03-22,"008279","Poor",8,6
1998-03-22,"006225","Good",7,6
1998-03-22,"005098","Poor",7,6
1998-03-22,"002864","Poor",7,6
1998-03-22,"006595","Poor",7,6
1998-03-23,"004293","Excellent",5,11
1998-03-23,"002864","Good",7,11
1998-03-23,"004628","Good",5,11
1998-03-23,"004840","Good",9,11
1998-03-23,"004326","Excellent",2,11
1998-03-23,"00715","Excellent",6,11
1998-03-23,"00293","Excellent",3,11
1998-03-23,"001221","Good",7,11
1998-03-23,"007923","Good",5,11
1998-03-23,"008164","Excellent",3,11
1998-03-23,"008041","Excellent",3,11
1998-03-24,"001273","Excellent",10,10
1998-03-24,"002677","Good",9,10
1998-03-24,"00715","Good",5,10
1998-03-24,"008041","Excellent",3,10
1998-03-24,"007559","Excellent",4,10
1998-03-24,"006773","Excellent",5,10
1998-03-24,"003825","Excellent",3,10
1998-03-24,"004840","Good",5,10
1998-03-24,"006595","Excellent",4,10
1998-03-24,"003135","Good",5,10
1998-03-25,"004347","Excellent",7,12
1998-03-25,"00293","Excellent",5,12
1998-03-25,"006773","Excellent",5,12
1998-03-25,"003825","Excellent",10,12
1998-03-25,"004840","Excellent",2,12
1998-03-25,"007559","Excellent",5,12
1998-03-25,"006393","Excellent",3,12
1998-03-25,"006225","Excellent",3,12
1998-03-25,"007923","Excellent",6,12
1998-03-25,"003184","Excellent",2,12
1998-03-25,"004628","Good",6,12
1998-03-25,"002677","Good",5,12
1998-03-26,"008279","Excellent",2,13
1998-03-26,"005828","Excellent",5,13
1998-03-26,"006225","Good",5,13
1998-03-26,"004326","Good",5,13
1998-03-26,"0056","Good",5,13
1998-03-26,"001273","Good",7,13
1998-03-26,"003369","Excellent",6,13
1998-03-26,"003135","Excellent",6,13
1998-03-26,"004347","Excellent",5,13
1998-03-26,"006595","Excellent",3,13
1998-03-26,"006605","Good",8,13
1998-03-26,"008164","Excellent",5,13
1998-03-26,"001221","Excellent",4,13
1998-03-27,"004326","Good",6,12
1998-03-27,"003135","Excellent",3,12
1998-03-27,"001221","Excellent",3,12
1998-03-27,"006773","Excellent",4,12
1998-03-27,"001273","Excellent",4,12
1998-03-27,"006605","Excellent",4,12
1998-03-27,"0056","Good",6,12
1998-03-27,"004628","Excellent",3,12
1998-03-27,"00715","Excellent",5,12
1998-03-27,"008041","Good",6,12
1998-03-27,"003825","Excellent",3,12
1998-03-27,"005098","Good",5,12
1998-03-28,"006225","Poor",7,7
1998-03-28,"008279","Poor",10,7
1998-03-28,"006595","Poor",9,7
1998-03-28,"007559","Poor",8,7
1998-03-28,"002677","Good",6,7
1998-03-28,"002864","Poor",8,7
1998-03-28,"004297","Fair",6,7
1998-03-29,"006225","Poor",12,4
1998-03-29,"004297","Fair",8,4
1998-03-29,"008279","Excellent",5,4
1998-03-29,"006595","Poor",8,4
1998-03-30,"004347","Excellent",3,9
1998-03-30,"00715","Excellent",8,9
1998-03-30,"001273","Good",5,9
1998-03-30,"007923","Good",5,9
1998-03-30,"003825","Excellent",4,9
1998-03-30,"004293","Good",6,9
1998-03-30,"003135","Good",6,9
1998-03-30,"004840","Good",7,9
1998-03-30,"008279","Excellent",4,9
1998-03-31,"008164","Excellent",4,12
1998-03-31,"004347","Excellent",3,12
1998-03-31,"007923","Good",4,12
1998-03-31,"005098","Good",6,12
1998-03-31,"003184","Excellent",3,12
1998-03-31,"004293","Good",7,12
1998-03-31,"00854","Good",6,12
1998-03-31,"003369","Excellent",2,12
1998-03-31,"003135","Excellent",6,12
1998-03-31,"004840","Good",10,12
1998-03-31,"002864","Excellent",8,12
1998-03-31,"006595","Excellent",3,12
1998-04-01,"006773","Excellent",7,13
1998-04-01,"003184","Excellent",5,13
1998-04-01,"004347","Excellent",5,13
1998-04-01,"006393","Excellent",4,13
1998-04-01,"005828","Excellent",2,13
1998-04-01,"003369","Excellent",5,13
1998-04-01,"001273","Excellent",3,13
1998-04-01,"0056","Excellent",4,13
1998-04-01,"007559","Excellent",3,13
1998-04-01,"004297","Excellent",6,13
1998-04-01,"004840","Excellent",4,13
1998-04-01,"002677","Good",5,13
1998-04-01,"00293","Good",7,13
1998-04-02,"005098","Excellent",4,11
1998-04-02,"006605","Excellent",4,11
1998-04-02,"002864","Good",5,11
1998-04-02,"007923","Fair",8,11
1998-04-02,"006773","Excellent",4,11
1998-04-02,"006225","Excellent",6,11
1998-04-02,"004628","Excellent",2,11
1998-04-02,"008041","Excellent",5,11
1998-04-02,"008279","Excellent",3,11
1998-04-02,"00293","Good",8,11
1998-04-02,"002677","Excellent",4,11
1998-04-03,"006605","Excellent",4,12
1998-04-03,"003825","Poor",9,12
1998-04-03,"004347","Good",7,12
1998-04-03,"001221","Fair",8,12
1998-04-03,"002864","Excellent",5,12
1998-04-03,"006225","Good",7,12
1998-04-03,"00715","Excellent",5,12
1998-04-03,"006773","Excellent",4,12
1998-04-03,"004326","Excellent",3,12
1998-04-03,"008164","Good",8,12
1998-04-03,"00854","Excellent",5,12
1998-04-03,"0056","Excellent",3,12
1998-04-04,"003184","Poor",9,6
1998-04-04,"006225","Fair",8,6
1998-04-04,"002677","Fair",8,6
1998-04-04,"002864","Poor",7,6
1998-04-04,"008279","Poor",9,6
1998-04-04,"006595","Poor",8,6
1998-04-05,"006773","Poor",9,6
1998-04-05,"006225","Good",5,6
1998-04-05,"008279","Fair",10,6
1998-04-05,"006595","Good",8,6
1998-04-05,"004297","Good",7,6
1998-04-05,"002677","Poor",10,6
1998-04-06,"004326","Excellent",4,10
1998-04-06,"006773","Excellent",4,10
1998-04-06,"002677","Good",8,10
1998-04-06,"008041","Excellent",2,10
1998-04-06,"006393","Good",4,10
1998-04-06,"001221","Excellent",5,10
1998-04-06,"004297","Good",6,10
1998-04-06,"008164","Excellent",4,10
1998-04-06,"003369","Excellent",3,10
1998-04-06,"008279","Excellent",3,10
1998-04-07,"007559","Excellent",4,11
1998-04-07,"005098","Excellent",4,11
1998-04-07,"008164","Excellent",2,11
1998-04-07,"001221","Fair",7,11
1998-04-07,"006393","Excellent",5,11
1998-04-07,"006605","Excellent",5,11
1998-04-07,"001273","Fair",6,11
1998-04-07,"007923","Good",5,11
1998-04-07,"003825","Excellent",4,11
1998-04-07,"003135","Good",7,11
1998-04-07,"0056","Excellent",6,11
1998-04-08,"00715","Good",5,11
1998-04-08,"001221","Excellent",5,11
1998-04-08,"002677","Excellent",3,11
1998-04-08,"004628","Excellent",7,11
1998-04-08,"004326","Excellent",5,11
1998-04-08,"006393","Excellent",6,11
1998-04-08,"008041","Excellent",3,11
1998-04-08,"007559","Excellent",3,11
1998-04-08,"004347","Good",6,11
1998-04-08,"007923","Good",6,11
1998-04-08,"008164","Excellent",6,11
1998-04-09,"00715","Good",6,11
1998-04-09,"002677","Excellent",3,11
1998-04-09,"008041","Excellent",5,11
1998-04-09,"0056","Fair",7,11
1998-04-09,"00293","Good",5,11
1998-04-09,"00854","Good",5,11
1998-04-09,"003369","Excellent",4,11
1998-04-09,"003184","Excellent",5,11
1998-04-09,"006605","Excellent",4,11
1998-04-09,"003135","Excellent",4,11
1998-04-09,"005098","Excellent",5,11
1998-04-10,"003369","Excellent",4,10
1998-04-10,"003135","Good",5,10
1998-04-10,"001273","Excellent",3,10
1998-04-10,"00715","Excellent",6,10
1998-04-10,"001221","Excellent",2,10
1998-04-10,"006605","Excellent",5,10
1998-04-10,"004297","Good",6,10
1998-04-10,"0056","Excellent",4,10
1998-04-10,"005098","Excellent",4,10
1998-04-10,"003184","Good",7,10
1998-04-11,"008279","Poor",8,7
1998-04-11,"003184","Fair",8,7
1998-04-11,"006595","Fair",5,7
1998-04-11,"002677","Poor",8,7
1998-04-11,"004297","Good",6,7
1998-04-11,"006225","Fair",5,7
1998-04-11,"002864","Fair",6,7
1998-04-12,"006595","Poor",14,5
1998-04-12,"005098","Fair",5,5
1998-04-12,"004297","Fair",6,5
1998-04-12,"008279","Poor",8,5
1998-04-12,"002677","Good",4,5
1998-04-13,"008279","Excellent",4,13
1998-04-13,"004347","Good",6,13
1998-04-13,"007923","Good",7,13
1998-04-13,"00854","Excellent",3,13
1998-04-13,"007559","Excellent",2,13
1998-04-13,"006225","Good",6,13
1998-04-13,"004297","Excellent",3,13
1998-04-13,"006773","Excellent",7,13
1998-04-13,"004840","Excellent",5,13
1998-04-13,"00715","Excellent",6,13
1998-04-13,"004326","Excellent",5,13
1998-04-13,"001273","Excellent",3,13
1998-04-13,"004628","Excellent",2,13
1998-04-14,"003135","Good",5,11
1998-04-14,"002677","Excellent",3,11
1998-04-14,"004628","Excellent",4,11
1998-04-14,"004326","Good",6,11
1998-04-14,"006605","Excellent",2,11
1998-04-14,"008279","Excellent",3,11
1998-04-14,"006773","Poor",9,11
1998-04-14,"006225","Good",5,11
1998-04-14,"007559","Excellent",6,11
1998-04-14,"001273","Poor",8,11
1998-04-14,"004297","Excellent",6,11
1998-04-15,"001221","Excellent",6,10
1998-04-15,"006605","Excellent",4,10
1998-04-15,"004840","Excellent",2,10
1998-04-15,"00293","Excellent",2,10
1998-04-15,"003184","Poor",7,10
1998-04-15,"00854","Good",5,10
1998-04-15,"008164","Good",5,10
1998-04-15,"003369","Good",7,10
1998-04-15,"005098","Excellent",2,10
1998-04-15,"004326","Excellent",4,10
1998-04-16,"004326","Good",5,11
